figure_id,file_basename,title,plot_family,claim_id,core_claim,post_figure_conclusion,caption,risk_note,source_output,paper_role,validation_status,render_check_status,ai_visual_check,human_visual_check,machine_issues,visual_check_note
Q4-11,Q4_11_最高费用日七价格情景与真实后缀,最高费用日七价格情景与真实后缀,情景线束,Q4-C11,[AI-DRAFT — modeler must confirm: 即便历史情景严格非前视，实际未来价格也可能在其范围外。],即便历史情景严格非前视，实际未来价格也可能在其范围外。,复盘Q4-3最高费用日2025-06-01；灰线为7条历史后缀，阴影为最小—最大。,范围不是置信区间；红色真实后缀没有进入历史日期选择。,data/raw/附件4.xlsx；src/common/forecasting.py:historical_price_scenarios,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-12,Q4_12_有限历史情景未来价格范围覆盖诊断,有限历史情景未来价格范围覆盖诊断,月份发布热图,Q4-C12,[AI-DRAFT — modeler must confirm: 有限历史价格集合不能保证覆盖全部实际未来价格。],有限历史价格集合不能保证覆盖全部实际未来价格。,先计算每目标日后缀覆盖比例，再对当月日期取平均。,覆盖的是逐点价格范围，不是费用置信区间或多阶段非前视保证。,data/raw/附件4.xlsx；src/common/forecasting.py:historical_price_scenarios,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-13,Q4_13_两分支三策略累计费用风险取舍,两分支三策略累计费用风险取舍,费用风险散点,Q4-C13,[AI-DRAFT — modeler must confirm: M1紧急量较低，但费用高；价格oracle只作非实施对照。],M1紧急量较低，但费用高；价格oracle只作非实施对照。,比较同一334天窗口，两个分支采用相同坐标尺度。,没有连续策略前沿；不将价格oracle称为真实总费用的严格下界。,results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv,[AI-DRAFT — modeler must confirm: 对比图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-14,Q4_14_相对无储能多指标正反证据矩阵,相对无储能多指标正反证据矩阵,相对变化矩阵,Q4-C14,[AI-DRAFT — modeler must confirm: 经济收益与紧急风险改善并非同步。],经济收益与紧急风险改善并非同步。,CVaR95按334个日期的精确尾部概率质量计算。,相对M1含储能动作差异，不是单独价格信息的因果效果。,results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv,[AI-DRAFT — modeler must confirm: 对比图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-15,Q4_15_多置信水平每日总费用尾部曲线,多置信水平每日总费用尾部曲线,CVaR曲线,Q4-C15,[AI-DRAFT — modeler must confirm: 减少累计费用不自动保证最坏日费用最低。],减少累计费用不自动保证最坏日费用最低。,CVaR为上尾平均费用，尾部质量不足整日时采用分数权重。,日期样本有时序依赖；曲线不是风险置信区间。,results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv,[AI-DRAFT — modeler must confirm: 对比图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-16,Q4_16_每日紧急购电尾部超越概率,每日紧急购电尾部超越概率,经验生存曲线,Q4-C16,[AI-DRAFT — modeler must confirm: 紧急量尾部须与累计量分别检查。],紧急量尾部须与累计量分别检查。,每方法334个真实日期；显示达到或超过阈值的比例。,不是未来事件概率的统计保证。,results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv,[AI-DRAFT — modeler must confirm: 对比图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-17,Q4_17_三策略两分支日费用风险联合分布,三策略两分支日费用风险联合分布,六分面联合散点,Q4-C17,[AI-DRAFT — modeler must confirm: 总费用与紧急量的关系随策略而异。],总费用与紧急量的关系随策略而异。,每格334个日样本，共享坐标保留全部极值。,不做回归因果推断；不同分支预测与调整机制不同。,results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv,[AI-DRAFT — modeler must confirm: 对比图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-18,Q4_18_历史情景与价格oracle逐日费用配对,历史情景与价格oracle逐日费用配对,配对恒等线散点,Q4-C18,[AI-DRAFT — modeler must confirm: 价格oracle并非每个实际日期总费用的必然下界。],价格oracle并非每个实际日期总费用的必然下界。,每点配对同一天，虚线为费用相等。,oracle知道价格而非真实未来负荷；不同跨日状态和事后缺口也影响日费用。,results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv,[AI-DRAFT — modeler must confirm: 对比图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-19,Q4_19_相对价格oracle累计费用差轨迹,相对价格oracle累计费用差轨迹,累计差值,Q4-C19,[AI-DRAFT — modeler must confirm: 累计oracle差距由每日正负差异共同形成。],累计oracle差距由每日正负差异共同形成。,两条曲线分别为本分支M3与M2同日费用差的累计和。,不是未来后悔界或严格机会损失理论界。,results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv,[AI-DRAFT — modeler must confirm: 对比图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-20,Q4_20_相对无储能累计费用节省轨迹,相对无储能累计费用节省轨迹,累计收益,Q4-C20,[AI-DRAFT — modeler must confirm: 历史情景储能策略在评价窗口形成累计费用节省。],历史情景储能策略在评价窗口形成累计费用节省。,与各自分支无储能M1比较，同日期实际价格结算。,M1初始SOC为6000、储能为1200，经1月预热口径不同；不当作独立随机因果试验。,results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv,[AI-DRAFT — modeler must confirm: 对比图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-21,Q4_21_两分支月度非对称实际结算分解,两分支月度非对称实际结算分解,堆叠面积与负项,Q4-C21,[AI-DRAFT — modeler must confirm: Q4-3的增减购合同项与紧急费用共同构成总费用。],Q4-3的增减购合同项与紧急费用共同构成总费用。,每月合计，减购退款单独置于0下方；Q4-2无调整项。,面积连接仅为月份合计读图引导，不是逐日费用插值。,results/Q4/experiments/round2/tables/q4_2_m3_full_schedule.csv.gz、q4_3_m3_full_schedule.csv.gz,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-22,Q4_22_合同与紧急费用相对oracle差值象限,合同与紧急费用相对oracle差值象限,配对差值象限,Q4-C22,[AI-DRAFT — modeler must confirm: 实际总费用差可以由方向相反的合同与紧急项组成。],实际总费用差可以由方向相反的合同与紧急项组成。,每点为同日期M3-M2，左下表示两项同时较低。两分支差值量级不同，坐标分别设定，不以图形幅度比较大小。,日费用差不只由情景保守性决定；不删负差日期。,results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv,[AI-DRAFT — modeler must confirm: 对比图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-23,Q4_23_日前到滚动分位策略配对费用风险变化,日前到滚动分位策略配对费用风险变化,配对联合散点,Q4-C23,[AI-DRAFT — modeler must confirm: 滚动分位策略的紧急量减少与费用变化存在日期异质性。],滚动分位策略的紧急量减少与费用变化存在日期异质性。,比较两分支M3同日期实际结算，0.99第二轮。,包含光伏更新、分位裕度、调整合同和情景条件化多项变化，不单独归因于某一项。,results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv,[AI-DRAFT — modeler must confirm: 对比图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-24,Q4_24_滚动分位策略紧急费用日历热图,滚动分位策略紧急费用日历热图,日历热图,Q4-C24,[AI-DRAFT — modeler must confirm: 紧急费用在真实日期上呈集中波动。],紧急费用在真实日期上呈集中波动。,Q4-3 M3第二轮，空白格为评价窗口外日期。,不是缺失或被删除的风险日期；星期仅依日历计算。,results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-25,Q4_25_滚动最终购电调整日期小时场,滚动最终购电调整日期小时场,符号热图,Q4-C25,[AI-DRAFT — modeler must confirm: 最终调整集中于未执行区间，早期冻结前缀保持不变。],最终调整集中于未执行区间，早期冻结前缀保持不变。,与原00:00计划比较，每槽kWh；使用全范围对称色阶。,不是逐次调整日志，不能据此计算每次发布的版本变化次数。,results/Q4/experiments/round2/tables/q4_2_m3_full_schedule.csv.gz、q4_3_m3_full_schedule.csv.gz,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-26,Q4_26_日内发布段最终购电调整雨云图,日内发布段最终购电调整雨云图,雨云,Q4-C26,[AI-DRAFT — modeler must confirm: 三个发布覆盖区间的最终购电调整分布不同。],三个发布覆盖区间的最终购电调整分布不同。,各组包含334天×36/36/37槽；密度、中位数、IQR及固定种子抽样散点。,最终相对00计划的差，不等同本次发布相对上一版本的增量。,results/Q4/experiments/round2/tables/q4_2_m3_full_schedule.csv.gz、q4_3_m3_full_schedule.csv.gz,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-27,Q4_27_实际电价与储能充放电响应联合密度,实际电价与储能充放电响应联合密度,功率价格密度,Q4-C27,[AI-DRAFT — modeler must confirm: 充放电功率与结算价格的联合结构可用于响应诊断。],充放电功率与结算价格的联合结构可用于响应诊断。,"两个分支各48,096时段，功率由每槽能量乘6转换。",价格为事后实际值；不表示策略预知未来价格，观察关联不是因果证据。,results/Q4/experiments/round2/tables/q4_2_m3_full_schedule.csv.gz、q4_3_m3_full_schedule.csv.gz；data/raw/附件4.xlsx,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-28,Q4_28_两分支SOC跨日时空轨迹,两分支SOC跨日时空轨迹,共享色阶热图,Q4-C28,[AI-DRAFT — modeler must confirm: SOC沿时间连续传递，两个分支呈现不同储能轨迹。],SOC沿时间连续传递，两个分支呈现不同储能轨迹。,每槽末SOC；共同1.2—10.8MWh色阶。,展示轨迹不能替代递推、约束与跨日连续性的独立数值核验。,results/Q4/experiments/round2/tables/q4_2_m3_full_schedule.csv.gz、q4_3_m3_full_schedule.csv.gz,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-29,Q4_29_储能状态净放电功率相平面密度,储能状态净放电功率相平面密度,相平面密度,Q4-C29,[AI-DRAFT — modeler must confirm: 储能功率与可用能量状态存在物理耦合。],储能功率与可用能量状态存在物理耦合。,"两个分支各48,096时段，正为放电、负为充电。",密度诊断不是动态稳定性证明或最优控制相图。,results/Q4/experiments/round2/tables/q4_2_m3_full_schedule.csv.gz、q4_3_m3_full_schedule.csv.gz,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-30,Q4_30_日前策略典型日电价调度状态联动,日前策略典型日电价调度状态联动,共享时间五层联动,Q4-C30,[AI-DRAFT — modeler must confirm: 价格、预测缺口、购电、功率与SOC需沿同一时间轴复盘。],价格、预测缺口、购电、功率与SOC需沿同一时间轴复盘。,Q4-2：日前策略，2025-04-09；典型日按M3总费用中位顺序选择，极端日取最高费用。,实际价格与净负荷为事后参考；不是决策时刻已知量。单日不代表总体改善或因果效果。,results/Q4/experiments/round2/tables/q4_2_m3_full_schedule.csv.gz、q4_3_m3_full_schedule.csv.gz；results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv；data/raw/附件2/3/4.xlsx,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-31,Q4_31_滚动策略典型日预测调整储能联动,滚动策略典型日预测调整储能联动,共享时间五层联动,Q4-C31,[AI-DRAFT — modeler must confirm: 价格、预测缺口、购电、功率与SOC需沿同一时间轴复盘。],价格、预测缺口、购电、功率与SOC需沿同一时间轴复盘。,Q4-3：滚动0.99，2025-11-11；典型日按M3总费用中位顺序选择，极端日取最高费用。,实际价格与净负荷为事后参考；不是决策时刻已知量。单日不代表总体改善或因果效果。,results/Q4/experiments/round2/tables/q4_2_m3_full_schedule.csv.gz、q4_3_m3_full_schedule.csv.gz；results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv；data/raw/附件2/3/4.xlsx,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-32,Q4_32_滚动最高费用日价格缺口储能复盘,滚动最高费用日价格缺口储能复盘,共享时间五层联动,Q4-C32,[AI-DRAFT — modeler must confirm: 价格、预测缺口、购电、功率与SOC需沿同一时间轴复盘。],价格、预测缺口、购电、功率与SOC需沿同一时间轴复盘。,Q4-3：滚动0.99，2025-06-01；典型日按M3总费用中位顺序选择，极端日取最高费用。,实际价格与净负荷为事后参考；不是决策时刻已知量。单日不代表总体改善或因果效果。,results/Q4/experiments/round2/tables/q4_2_m3_full_schedule.csv.gz、q4_3_m3_full_schedule.csv.gz；results/Q4/experiments/round2/tables/q4_2_daily_metrics.csv、q4_3_daily_metrics.csv；data/raw/附件2/3/4.xlsx,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-33,Q4_33_安全裕度参数向Q4三传播的两轮配对变化,安全裕度参数向Q4三传播的两轮配对变化,配对点传播,Q4-C33,[AI-DRAFT — modeler must confirm: Q4-3三策略均随安全裕度版本变化；Q4-2口径不变。],Q4-3三策略均随安全裕度版本变化；Q4-2口径不变。,三个指标使用各自单位；连接同策略两个执行版本，不做连续敏感性拟合。,0.99已执行但未冻结；不是独立时间验证，也不是K=7之外的情景数量敏感性。,results/Q4/experiments/round1、round2/metrics/metrics.json,[AI-DRAFT — modeler must confirm: 对比图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
Q4-34,Q4_34_实际计划费用超出七历史情景最坏值诊断,实际计划费用超出七历史情景最坏值诊断,有限集合费用差值,Q4-C34,[AI-DRAFT — modeler must confirm: 有限情景最坏值不是实际未来费用保证；实际超过该值的日期为101天。],有限情景最坏值不是实际未来费用保证；实际超过该值的日期为101天。,使用Q4-2已保存同一计划，分别按00:00所选7历史日与当天实际价格重估。,仅计划费用，不含紧急；不是重新求解或情景外最优性检验。,results/Q4/experiments/round2/tables/q4_2_m3_full_schedule.csv.gz、q4_3_m3_full_schedule.csv.gz；data/raw/附件4.xlsx；src/common/forecasting.py:historical_price_scenarios,[AI-DRAFT — modeler must confirm: 诊断图],checked,passed,passed,not_run,[],AI逐张检查150dpi预览，修订后以相同尺寸导出600dpi；不自动冻结论文论断。
