figure_id,file_basename,title,plot_family,claim_id,core_claim,paper_role,caption,post_figure_conclusion,risk_note,source_output,validation_status,render_check_status,ai_visual_check,visual_check_note,machine_issues
Q2-11,Q2_11_绝对误差经验累积分布图,绝对误差经验累积分布图,ECDF阶梯图,Q2-C11,误差阈值下的实际覆盖率能比单一RMSE展示更完整的预测表现。,[AI-DRAFT — modeler must confirm: 对比图],三种方法各48096个绝对残差，阶梯为经验CDF；显示完整数据范围。,误差阈值下的实际覆盖率能比单一RMSE展示更完整的预测表现。,仅对应2025年334天非前视回放，不代表多年泛化或全年随机优化理论最优。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-12,Q2_12_欠预测尾部超越概率图,欠预测尾部超越概率图,尾部生存曲线,Q2-C12,正向残差的超越概率直接关联紧急购电风险。,[AI-DRAFT — modeler must confirm: 对比图],概率分母为全部48096个时段而非仅欠预测样本；零超越概率在对数轴上不绘制。,正向残差的超越概率直接关联紧急购电风险。,欠预测残差不完全等于紧急量，须同时考虑计划富余与储能执行。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-13,Q2_13_月份小时误差强度矩阵,月份小时误差强度矩阵,月份小时矩阵,Q2-C13,误差可分解到季节与日内时间，避免年度均值掩盖局部弱点。,[AI-DRAFT — modeler must confirm: 诊断图],11×24个分组RMSE，各月份天数不同；每个格子使用该月所有对应时段。,误差可分解到季节与日内时间，避免年度均值掩盖局部弱点。,仅对应2025年334天非前视回放，不代表多年泛化或全年随机优化理论最优。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-14,Q2_14_日费用紧急购电联合风险图,日费用紧急购电联合风险图,多语义风险散点,Q2-C14,紧急购电量与综合费用的关联在每日真实结算中显现。,[AI-DRAFT — modeler must confirm: 对比图],每方法334个日级点，颜色和形状双重编码；未使用拟合线声称因果效应。,紧急购电量与综合费用的关联在每日真实结算中显现。,仅对应2025年334天非前视回放，不代表多年泛化或全年随机优化理论最优。,results/Q2/experiments/round1/tables/q2_daily_metrics.csv,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-15,Q2_15_累计费用节省轨迹图,累计费用节省轨迹图,累计差额轨迹,Q2-C15,M3的预测精度优势可转化为评价期内累计结算费用优势。,[AI-DRAFT — modeler must confirm: 对比图],逐日累加基线/对照费用减M3费用，正值代表M3节省；相同日级样本。,M3的预测精度优势可转化为评价期内累计结算费用优势。,仅对应2025年334天非前视回放，不代表多年泛化或全年随机优化理论最优。,results/Q2/experiments/round1/tables/q2_daily_metrics.csv,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-16,Q2_16_累计紧急购电风险轨迹图,累计紧急购电风险轨迹图,累积风险轨迹,Q2-C16,M3评价期累计紧急购电量低于两个对照方法。,[AI-DRAFT — modeler must confirm: 对比图],334天实际执行下的逐日紧急购电量累加；不是预测层代理量。,M3评价期累计紧急购电量低于两个对照方法。,仅对应2025年334天非前视回放，不代表多年泛化或全年随机优化理论最优。,results/Q2/experiments/round1/tables/q2_daily_metrics.csv,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-17,Q2_17_日综合费用尾部分布图,日综合费用尾部分布图,费用尾部阶梯曲线,Q2-C17,年度均值之外，极端高费用日的经验频率也需要比较。,[AI-DRAFT — modeler must confirm: 对比图],各方法334个日费用样本；绘制P（费用≥阈值）；零概率不在对数轴绘制。,年度均值之外，极端高费用日的经验频率也需要比较。,经验尾部只有有限数量日期，不可解释为已估计多年极端事件概率。,results/Q2/experiments/round1/tables/q2_daily_metrics.csv,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-18,Q2_18_紧急购电日历热图,紧急购电日历热图,日历热力图,Q2-C18,日历式展示可定位风险集中日期而不丢失单日信息。,[AI-DRAFT — modeler must confirm: 诊断图],M3的334个单日紧急量按真实日历排列，空白表示不在评价期内。,日历式展示可定位风险集中日期而不丢失单日信息。,星期标签为日期展示，不等同于源码的日序号mod7特征。,results/Q2/experiments/round1/tables/q2_daily_metrics.csv,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-19,Q2_19_储能状态功率相平面密度图,储能状态功率相平面密度图,相平面占用密度,Q2-C19,储能动作在SOC和功率允许范围内呈现离散模式。,[AI-DRAFT — modeler must confirm: 诊断图],M3全量执行指令；横轴为相邻SOC均值，纵轴为充放电电量差×6，虚线为边界。,储能动作在SOC和功率允许范围内呈现离散模式。,图形展示不能替代逐时约束审计；中点SOC不同于时段起点。,results/Q2/experiments/round1/tables/q2_m3_full_schedule.csv.gz,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-20,Q2_20_全年储能SOC时空轨迹图,全年储能SOC时空轨迹图,状态时空热力图,Q2-C20,SOC日内循环与跨日连续执行状态能够被同时核对。,[AI-DRAFT — modeler must confirm: 诊断图],334×144个时段末SOC；固定色轴覆盖1200—10800kWh物理区间。,SOC日内循环与跨日连续执行状态能够被同时核对。,本策略多数日末逼近下界，仅全年末强制6000kWh，不可称为每日日末6000。,results/Q2/experiments/round1/tables/q2_m3_full_schedule.csv.gz,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-21,Q2_21_典型日预测调度状态联动图,典型日预测调度状态联动图,共享时间轴联动剖面,Q2-C21,预测、补购和储能指令可以在同一日期按同一时钟复盘。,[AI-DRAFT — modeler must confirm: 诊断图],2025-05-06，由日费用排序的中位日期确定；量纲不同的变量分轴而非双纵轴。,预测、补购和储能指令可以在同一日期按同一时钟复盘。,日期按评价期结果事后选择，属于诊断案例，不是模型训练或选参。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx；results/Q2/experiments/round1/tables/q2_m3_full_schedule.csv.gz,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-22,Q2_22_极端高费用日调度复盘图,极端高费用日调度复盘图,共享时间轴联动剖面,Q2-C22,预测、补购和储能指令可以在同一日期按同一时钟复盘。,[AI-DRAFT — modeler must confirm: 诊断图],2025-06-01，由M3日综合费用最大日期确定；量纲不同的变量分轴而非双纵轴。,预测、补购和储能指令可以在同一日期按同一时钟复盘。,日期按评价期结果事后选择，属于诊断案例，不是模型训练或选参。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx；results/Q2/experiments/round1/tables/q2_m3_full_schedule.csv.gz,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-23,Q2_23_分时电价条件残差雨云图,分时电价条件残差雨云图,条件分布雨云图,Q2-C23,同样大小的预测偏差在不同电价槽具有不同费用影响。,[AI-DRAFT — modeler must confirm: 诊断图],按附件1电价的三分位阈值0.442867、0.937100元/kWh划分低/中/高价槽；全量KDE/箱线，每组随机展示240个散点。,同样大小的预测偏差在不同电价槽具有不同费用影响。,条件分布反映日内电价/时间共同关联，不应解读为电价导致预测误差。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx；data/raw/附件1.xlsx,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-24,Q2_24_训练窗口敏感性配对点图,训练窗口敏感性配对点图,敏感性哑铃图,Q2-C24,现有60日窗口报告值未优于正式30日窗口。,[AI-DRAFT — modeler must confirm: 对比图],30日数据来自正式metrics.json，60日三个聚合值仅来自sensitivity_report.md的已报告数字。,现有60日窗口报告值未优于正式30日窗口。,仓库当前未保存报告中所称60日原始CSV及run_sensitivity源码，故不生成不存在的多参数响应面。,sensitivity_report.md；results/Q2/experiments/round1/metrics/metrics.json,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-25,Q2_25_预测改善运营改善月份联合图,预测改善运营改善月份联合图,月份标注双指标图,Q2-C25,预测层改善不自动保证运营层同比改善，须逐月联合核验。,[AI-DRAFT — modeler must confirm: 对比图],M2/M3共22个方法—月份点，各月分别以该月M1为分母；正坐标表示改善。,预测层改善不自动保证运营层同比改善，须逐月联合核验。,月份为事后分组，不能视作独立年度验证；负值表示该指标比M1更差。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx；results/Q2/experiments/round1/tables/q2_daily_metrics.csv,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-26,Q2_26_残差跨日多尺度自相关图,残差跨日多尺度自相关图,FFT自相关诊断,Q2-C26,残差时间依赖结构可用于判断年度误差汇总是否掩盖周期问题。,[AI-DRAFT — modeler must confirm: 诊断图],连续串联48096个10分钟残差，滞后0—168小时；使用全序列分母的有偏样本ACF。,残差时间依赖结构可用于判断年度误差汇总是否掩盖周期问题。,未画独立白噪声置信区间，不据此声称显著性或因果关系。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
Q2-27,Q2_27_特征标签秩相关矩阵图,特征标签秩相关矩阵图,半矩阵相关热图,Q2-C27,历史特征与净负荷标签的秩相关结构可做数据诊断。,[AI-DRAFT — modeler must confirm: 诊断图],评价期48096个特征—标签样本，半矩阵避免对称冗余；该图仅事后分析。,历史特征与净负荷标签的秩相关结构可做数据诊断。,相关不是训练模型的特征重要性，不是因果作用，也不是特征消融实验。,results/Q2/experiments/round1/tables/net_load_forecasts.npz；data/raw/附件2.xlsx；src/common/forecasting.py,checked,passed,passed,AI逐张查看150dpi预览；600dpi成图保留尺寸与布局；图例、单位、色标与中文可读。,[]
